iter	Passed	Remaining
856	1644	274
857	1646	272
858	1648	270
859	1649	268
860	1650	266
861	1652	264
862	1653	262
863	1655	260
864	1656	258
865	1658	256
866	1660	254
867	1662	252
868	1663	250
869	1665	248
870	1666	246
871	1667	244
872	1668	242
873	1669	240
874	1671	238
875	1672	236
876	1673	234
877	1675	232
878	1677	230
879	1679	228
880	1680	227
881	1682	225
882	1683	223
883	1684	221
884	1686	219
885	1688	217
886	1690	215
887	1692	213
888	1694	211
889	1695	209
890	1697	207
891	1698	205
892	1700	203
893	1701	201
894	1703	199
895	1705	197
896	1706	195
897	1708	194
898	1709	192
899	1710	190
900	1712	188
901	1713	186
902	1715	184
903	1716	182
904	1718	180
905	1720	178
906	1721	176
907	1723	174
908	1724	172
909	1726	170
910	1727	168
911	1728	166
912	1730	164
913	1732	163
914	1733	161
915	1735	159
916	1736	157
917	1738	155
918	1739	153
919	1740	151
920	1742	149
921	1743	147
922	1744	145
923	1746	143
924	1748	141
925	1749	139
926	1751	137
927	1752	135
928	1754	134
929	1755	132
930	1757	130
931	1758	128
932	1759	126
933	1761	124
934	1763	122
935	1765	120
936	1766	118
937	1767	116
938	1769	114
939	1771	113
940	1773	111
941	1774	109
942	1776	107
943	1777	105
944	1779	103
945	1780	101
946	1781	99
947	1783	97
948	1785	95
949	1786	94
950	1788	92
951	1789	90
952	1791	88
953	1793	86
954	1794	84
955	1796	82
956	1797	80
957	1799	78
958	1800	76
959	1802	75
960	1803	73
961	1804	71
962	1806	69
963	1807	67
964	1809	65
965	1810	63
966	1812	61
967	1813	59
968	1814	58
969	1816	56
970	1817	54
971	1820	52
972	1821	50
973	1823	48
974	1824	46
975	1826	44
976	1827	43
977	1828	41
978	1830	39
979	1831	37
980	1833	35
981	1834	33
982	1836	31
983	1838	29
984	1839	28
985	1840	26
986	1842	24
987	1843	22
988	1845	20
989	1846	18
990	1848	16
991	1850	14
992	1851	13
993	1853	11
994	1854	9
995	1856	7
996	1857	5
997	1858	3
998	1860	1
999	1861	0
